Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.75,31.50,Top,0.0
C2, 6.75,22.50,Top,0.0
C3, 6.75,13.50,Top,0.0
C4,15.75, 4.50,Top,0.0
C5,24.75, 4.50,Top,0.0
C6,33.75, 4.50,Top,0.0
C7,42.75,13.50,Top,0.0
C8,42.75,22.50,Top,0.0
C9,42.75,31.50,Top,0.0
C10,42.75,49.50,Top,0.0
C11,42.75,58.50,Top,0.0
C12,42.75,67.50,Top,0.0
C13,33.75,76.50,Top,0.0
C14,24.75,76.50,Top,0.0
C15,15.75,76.50,Top,0.0
C16, 6.75,67.50,Top,0.0
C17, 6.75,58.50,Top,0.0
C18, 6.75,49.50,Top,0.0
C19,15.75,40.50,Top,0.0
C20,24.75,40.50,Top,0.0
C21,33.75,40.50,Top,0.0
C22,56.70,31.50,Top,0.0
C23,56.70,22.50,Top,0.0
C24,56.70,13.50,Top,0.0
C25,65.70, 4.50,Top,0.0
C26,74.70, 4.50,Top,0.0
C27,83.25, 4.50,Top,0.0
C28,92.70,13.50,Top,0.0
C29,92.70,22.50,Top,0.0
C30,92.70,31.50,Top,0.0
C31,92.70,49.50,Top,0.0
C32,92.70,58.50,Top,0.0
C33,92.70,67.50,Top,0.0
C34,83.70,76.50,Top,0.0
C35,74.70,76.50,Top,0.0
C36,65.70,76.50,Top,0.0
C37,56.70,67.50,Top,0.0
C38,56.70,58.50,Top,0.0
C39,56.70,49.50,Top,0.0
C40,65.70,40.50,Top,0.0
C41,74.70,40.50,Top,0.0
C42,83.70,40.50,Top,0.0
LED1, 7.00,36.00,Top,0.0
LED2, 7.00,27.00,Top,0.0
LED3, 7.00,18.00,Top,0.0
LED4,16.00, 9.00,Top,0.0
LED5,25.00, 9.00,Top,0.0
LED6,34.00, 9.00,Top,0.0
LED7,43.00,18.00,Top,0.0
LED8,43.00,27.00,Top,0.0
LED9,43.00,36.00,Top,0.0
LED10,43.00,54.00,Top,0.0
LED11,43.00,63.00,Top,0.0
LED12,43.00,72.00,Top,0.0
LED13,34.00,81.00,Top,0.0
LED14,25.00,81.00,Top,0.0
LED15,16.00,81.00,Top,0.0
LED16, 7.00,72.00,Top,0.0
LED17, 7.00,63.00,Top,0.0
LED18, 7.00,54.00,Top,0.0
LED19,16.00,45.00,Top,0.0
LED20,25.00,45.00,Top,0.0
LED21,34.00,45.00,Top,0.0
LED22,57.00,36.00,Top,0.0
LED23,57.00,27.00,Top,0.0
LED24,57.00,18.00,Top,0.0
LED25,66.00, 9.00,Top,0.0
LED26,75.00, 9.00,Top,0.0
LED27,84.00, 9.00,Top,0.0
LED28,93.00,18.00,Top,0.0
LED29,93.00,27.00,Top,0.0
LED30,93.00,36.00,Top,0.0
LED31,93.00,54.00,Top,0.0
LED32,93.00,63.00,Top,0.0
LED33,93.00,72.00,Top,0.0
LED34,84.00,81.00,Top,0.0
LED35,75.00,81.00,Top,0.0
LED36,66.00,81.00,Top,0.0
LED37,57.00,72.00,Top,0.0
LED38,57.00,63.00,Top,0.0
LED39,57.00,54.00,Top,0.0
LED40,66.00,45.00,Top,0.0
LED41,75.00,45.00,Top,0.0
LED42,84.00,45.00,Top,0.0
